entity,year,gdp_pc,repression,iv_repression,gross_fixed_capital_formation_perecent_of_gdp,trade_percentageof_gdp,inflation_consumer_prices_annual_perecentage_growth,population_growth_annual_percentage,expenditure_on_education,ln_gdp_pc
Malta,1997,13286.71705,2.376,0.957,24.00304742,155.659194,3.11207792,0.756792687,13.51136684,9.494520097113563
Malta,1998,13877.2541,2.376,0.957,24.89959617,157.0465088,2.385251354,0.649936279,12.9089756,9.538006383077477
Malta,1999,14446.356,2.376,0.957,22.76040654,165.1709768,2.134768888,0.592860774,12.97274113,9.578197481807077
Malta,2000,17178.37738,2.376,0.957,23.72034539,189.6012193,2.369592875,0.645267231,12.85183048,9.751406742882159
Malta,2001,16920.73097,2.376,0.957,21.37188732,161.3253603,2.929492443,0.751106498,13.60690212,9.736294833763697
Malta,2002,17255.42994,2.376,0.957,17.44559886,162.5240762,2.188490481,0.745506921,14.11975574,9.755882152057385
Malta,2003,17775.42648,2.376,0.957,21.85539529,154.5741617,1.303837774,0.657732334,13.02172661,9.785572247632553
Malta,2004,17728.36598,2.376,0.957,21.14416268,155.8899183,2.790828481,0.671628455,13.06572628,9.782921233512623
Malta,2005,18123.26852,2.376,0.957,22.54368794,157.5484978,3.007966525,0.637436918,12.70633793,9.804951945228567
Malta,2006,18479.21301,2.376,0.957,20.44475364,182.4340556,2.773780065,0.364336947,12.92037773,9.824401758249904
Malta,2007,19342.32529,2.376,0.957,21.97685238,184.8313343,1.249219238,0.348755082,12.70667267,9.870050993941302
Malta,2008,20064.46108,2.376,0.957,20.21575265,185.7495238,4.258621719,0.650655461,12.12988949,9.90670542363112
Malta,2009,19635.91578,2.376,0.957,19.72999611,163.5568484,2.084327461,0.753906931,12.80687046,9.885115606107837
Malta,2010,20750.64795,2.376,0.957,20.82230263,178.2329553,1.515635136,0.491182811,13.55376911,9.940332751677332
Malta,2011,20867.93109,2.376,0.957,17.98916772,192.0273414,2.962985282,0.423700885,13.45122433,9.945968861951668
Malta,2012,21529.39822,2.376,0.957,19.77666692,199.2138651,2.375820578,0.899209212,13.39120579,9.977174639201406
Malta,2013,22626.49814,2.376,0.957,17.29551919,187.4322529,1.180284364,1.132063442,13.61623573,10.026876982508533
Malta,2014,23866.06679,2.376,0.957,16.84004193,181.3011271,0.310306472,2.020595582,13.3270731,10.080212929467544
Malta,2015,25529.68133,2.376,0.957,23.66336826,207.1960199,1.100548264,2.447196925,13.22962189,10.147597027979796
